CÓDIGO;NOMBRE DEL COLOR;TIPO DE PINTURA;BASE 1;BASE 2;BASE 3;BASE 4;BASE 5;BASE 6;BASE 7;BASE 8;BASE 9;BASE 10;BASE 11;BASE 12;BASE 13;BASE 14;BASE 15;BASE 16;BASE 17
AZUL METALICO BASE;B51;DUCO;80;37;12;8;2;2;;;;;;;;;;;
GRIS METALICO BASE;SS7;DUCO;40;40;15;9;26;2;4;17;3;;;;;;;;
BEIGE MARRON MET BASE;4N9;DUCO;63;20;34;6;12;5;;;;;;;;;;;
AMARILLO NARANJA;PORTILLO;DUCO;83,3;26,6;11;0,3;25,7;;;;;;;;;;;;
ALUMINIO BASE;199-TOY;DUCO;95;27;1;20;;;;;;;;;;;;;
BEIGE BASE MET P/ 4J1;4J1;DUCO;80;21;2;17;3;4;20;;;;;;;;;;
AZUL METALICO BASE P/T65;T65;DUCO;30,6;10,3;61,2;2,2;15,5;28,8;;;;;;;;;;;
AZUL METALICO BASE;8L2;DUCO;55;4;30;40;5;2;;;;;;;;;;;
GRIS METALICO BASE;ZCD;DUCO;50;24;2;43;5;5;30;;;;;;;;;;
GRIS METALICO BASE P/ 1E9;1E9-TOY;DUCO;50;30;3;8;7;45;;;;;;;;;;;
BEIGE ARENA;BERLIN;DUCO;106;40;4;2;2;;;;;;;;;;;;
GRIS METALICO BASE;38P;DUCO;108;16;0,8;16;2,4;3,2;;;;;;;;;;;
AZUL METALICO BASE;747  VJ;DUCO;90;11;2;24;5;4;;;;;;;;;;;
BEIGE ARENA;LINO;DUCO;135;22;3;1;;;;;;;;;;;;;
BEIGE MARRON;NOGEIRA;DUCO;15;45;18;28;4;32;5;;;;;;;;;;
ALUMINIO BASE;RHM;DUCO;70;50;10;3;0,5;;;;;;;;;;;;
GRIS METALICO MOTOR;PRS-5;DUCO;90;15;1;15;1;20;;;;;;;;;;;
AZUL METALICO BASE;Y29;DUCO;50;2;4;30;5;60;;;;;;;;;;;
NARANJA CEDRO;CEDRO;DUCO;115;16;7;5;15;;;;;;;;;;;;
BLANCO BASE P/ QX1;QX1;DUCO;155;0,6;0,4;0,4;3;;;;;;;;;;;;
VERDE METALICO BASE;DN1;DUCO;100;1;3;6;0,7;35;;;;;;;;;;;
BEIGE NARANJA;HANOVER;DUCO;65;10;32;4;34;4;;;;;;;;;;;
BEIGE ARENA;MAPLE;DUCO;145,2;1,7;1;0,7;4,3;;;;;;;;;;;;
GRIS METALICO BASE;MST;DUCO;81;14;0,5;41;7;5;;;;;;;;;;;
ALUMINIO BASE;Z2S;DUCO;90;45;4,5;7,2;;;;;;;;;;;;;
AZUL SAN LORENZO MET;SAN;DUCO;80;8;29;1;15;;;;;;;;;;;;
BEIGE CAFÉ;MUNIQUE;DUCO;18;85;20;7;4;4;;;;;;;;;;;
MARRON CLARO;CASTANHO;DUCO;20;40;40;30;30;10;;;;;;;;;;;
AMARILLO LIMON;LIMA;DUCO;102,4;0,3;4,8;50;2;;;;;;;;;;;;
ALUMINIO BASE;KY0;DUCO;110;20;1,3;4;0,7;;;;;;;;;;;;
ALUMINIO VENTANAS;ALV-2;DUCO;40;25;55;15;5;2;;;;;;;;;;;
