CÓDIGO;NOMBRE DEL COLOR;TIPO DE PINTURA;BASE 1;BASE 2;BASE 3;BASE 4;BASE 5;BASE 6;BASE 7;BASE 8;BASE 9;BASE 10;BASE 11;BASE 12;BASE 13;BASE 14;BASE 15;BASE 16;BASE 17
VERDE METALICO BASE;FP0;DUCO;81;11;13;30;2;60;;;;;;;;;;;
NARANJA MONOPOL;PALALA;DUCO;1205;4;40;768;4;190;;;;;;;;;;;
BLANCO METALLIC;OPALA;DUCO;150;2;1;;;;;;;;;;;;;;
GRIS BASE MET P/1A3;1A3;DUCO;25;2;11;2;30;11;11;34;;;;;;;;;
AZUL GRIS METALICO BASE;1F9;DUCO;28;130;46;3;122;;;;;;;;;;;;
BEIGE BASE MET;ZA4;DUCO;90;11;1;2;3;23;;;;;;;;;;;
AZUL VIOLETA;FIERO;DUCO;58;4;56;1;16;26;;;;;;;;;;;
BEIGE NOGEIRA LINCON;LINCON;DUCO;63;35;21;16;9;;;;;;;;;;;;
ROJO MET BASE;PRP;DUCO;86;10;4;10;40;;;;;;;;;;;;
AZUL BASE MET;8R3;DUCO;60;25;25;20;15;;;;;;;;;;;;
CINZA CRISTAL;CRISTAL;DUCO;145;3;1;5;;;;;;;;;;;;;
BEIGE NARANJA CLARO;MURANO;DUCO;109;25;3;8;13;;;;;;;;;;;;
BEIGE CLARO;BATUR;DUCO;105;25;7;5;11;;;;;;;;;;;;
BEIGE ROSA METALICO BASE;3P3;DUCO;105;6;3;3;3;10;;;;;;;;;;;
ROJO BASE;391-TOY;DUCO;72;20;7;6;1;10;30;;;;;;;;;;
BEIGE BASE MET P/ 3K9;3K9;DUCO;80;10;2;30;2;4;20;;;;;;;;;;
DORADO BASE MET P/ P4N;P4N;DUCO;60;10;35;15;10;20;;;;;;;;;;;
BEIGE BASE;4A8;DUCO;100;25;10;5;;;;;;;;;;;;;
BEIGE GRIS NARANJA;NUEZ;DUCO;45;10;27;10;8;52;;;;;;;;;;;
ROSA IPE;IPE;DUCO;430;30;300;;;;;;;;;;;;;;
BEIGE VERDOSO;SANDALO;DUCO;77;60;8;14;20;20;;;;;;;;;;;
GRIS GRAFITO CHUMBO;CHUMBO;DUCO;53;1;9;35;45;;;;;;;;;;;;
BLANCO BASE;BLANCO-1;DUCO;80;20;;;;;;;;;;;;;;;
BEIGE ACERGAL;ACERGAL;SC;3950;28;13;6;;;;;;;;;;;;;
BLANCO BASE P/ 049;049-TOY;DUCO;160,2;1,4;1,2;1,1;;;;;;;;;;;;;
NARANJA CARROSERIA;AGILAR;SC;1005;1390;17;;;;;;;;;;;;;;
ROSA FUCSIA FIE;BISSA;DUCO;180;130;50;440;200;600;;;;;;;;;;;
AZUL BASE MET P/ B25;B25;DUCO;57;30;22;25;6;49;22;;;;;;;;;;
MARRON ROBLE;ROBLE-2;DUCO;70;25;19;16;6;6;8;;;;;;;;;;
ROSA BASE MET P/ 9AE;9AE;DUCO;280;7;5;5;13;1;60;;;;;;;;;;
AZUL BASE MET P/ BLA;BLA-;DUCO;56;12;37;30;;;;;;;;;;;;;
BLANCO BASE;CHEMICAL;DUCO;90;30;;;;;;;;;;;;;;;
GRIS BASE MET P/U17;U17;DUCO;125;10;55;30;150;100;170;170;;;;;;;;;
ROSA FUCSIA;FUCSIA;DUCO;80;1;12;15;45;;;;;;;;;;;;
BLANCO GELO BASE;GELO;DUCO;3370;32;170;60;190;;;;;;;;;;;;
VERDE ECUATORIAL AGAVE;AGAVE;DUCO;97;9;27;30;;;;;;;;;;;;;
AZUL BASE;TRAC-TOY;DUCO;162;154;;16;16;56;;;;;;;;;;;
GRIS METALICO BASE;KDG;DUCO;260;40;38;25;25;2;;;;;;;;;;;
GRIS ARO TOYOTA;ARO;DUCO;307;65;50;148;;;;;;;;;;;;;
GRIS METALICO BASE;KLG;DUCO;514;7;15;15;15;874;850;;;;;;;;;;
VERDE BASE MET P/ DPQ;DPQ;DUCO;175;22;80;90;20;;;;;;;;;;;;
GRIS BASE MET P/ ZDL;ZDL;DUCO;60;43;6;25;5;;;;;;;;;;;;
GRIS BASE MET P/ U04;U04;DUCO;55;2;4;95;3;;;;;;;;;;;;
AZUL BASE MET P/ ZLU;ZLU;DUCO;150;70;5;340;80;115;100;;;;;;;;;;
BLANCO MATE;IBIZA;DUCO;145;0,5;0,5;4;;;;;;;;;;;;;
METALLIC SUEDE;SUEDE;DUCO;170;22;14;6;1;;;;;;;;;;;;
NEGRO ESPECIAL;ESPECIAL;DUCO;50;18;2;2;;;;;;;;;;;;;
BEIGE MANIQUIS;MANIQUIS;DUCO;92;17;1;1;33;;;;;;;;;;;;
ROJO BASE;P63;DUCO;560;10;12;180;;;;;;;;;;;;;
AMAILLO LIMON;FHVL-15;SSER;2000;20;628;;;;;;;;;;;;;;
AZUL BASE MET;2607-VL;DUCO;200;3;20;200;;;;;;;;;;;;;
MARRON BASE MET;3301-VL;DUCO;15;40;8;20;60;;;;;;;;;;;;
HELMO MACHIADO;HELMO;DUCO;240;70;6;16;28;;;;;;;;;;;;
MARRON BASE MET P/ ZUG;ZUG;DUCO;40;19;9;10;45;27;;;;;;;;;;;
VIOLETA BASE MET P/ 592;592-MB;DUCO;40;4;20;20;60;;;;;;;;;;;;
BEIGE NARANJA CLARO;ALMENDALA;DUCO;77;60;12;7;40;16;20;;;;;;;;;;
AZUL VIOLETA BASE;B42;DUCO;24;6;7;52;59;;;;;;;;;;;;
ALUMINIO GRUESO;GRUESO;DUCO;40;10;40;50;;;;;;;;;;;;;
VERDE BASE MET P/ 6N1;6N1;DUCO;49;4;20;8;28;37;;;;;;;;;;;
GRIS BASE METALICO;182-TOY;DUCO;80;11;1;31;8;8;15;;;;;;;;;;
ROSA LETRERO;ROSA-2;DUCO;50;35;15;20;30;;;;;;;;;;;;
BEIGE BOLERO TEXTURE;BOLERO;DUCO;136;2;8;92;;;;;;;;;;;;;
ROJO BASE SOLIDO;0FT;DUCO;657;8;120;43;;;;;;;;;;;;;
VERDE SABIA;SABIA;DUCO;48;9;6;3;22;51;13;;;;;;;;;;
BEIGE GRIS;GANDUIA-2;DUCO;247;19;180;8;;;;;;;;;;;;;
LILA VIOLETA BANCO SOL;SKY-4;DUCO;87;36;23;;;;;;;;;;;;;;
GRIS METALICO BASE P/ KK0;KK0;DUCO;820;200;200;90;260;10;40;;;;;;;;;;
BRONZE MET BASE P/ 46V;46V;DUCO;360;833;70;470;100;;;;;;;;;;;;
BRONZE MET BASE P/ ZVC;ZVC;DUCO;100;31;14;20;3;2;200;;;;;;;;;;
VERDE BASE MET P/ DR3;DR3;DUCO;40;3;2;13;5;15;36;;;;;;;;;;
AZUL METALICO VOLVO;VL-1;SER;1070;300;205;20;;;;;;;;;;;;;
LINO PION;PION;DUCO;95;4;1;21;23;5;9;;;;;;;;;;
AZUL METALICO BASE;8T0;DUCO;240;94;24;23;2;10;;;;;;;;;;;
ALUMINIO BASE P/ KCS;KSC;DUCO;60;82;4;2;;;;;;;;;;;;;
BEIGE AMARILLO;RIVIERA;DUCO;24;9;25;38;67;;;;;;;;;;;;
VERDE BASE P/ 764;764-TOY;DUCO;220;200;150;50;200;;;;;;;;;;;;
GRIS BASE MET P/ IM;IM-KIA;DUCO;105;10;1;3;2;22;;;;;;;;;;;
BEIGE ARENA CLARO;CAPRI;DUCO;150;4;1;6;3;;;;;;;;;;;;
GRIS BASE MET P/ KNH;KNH;DUCO;60;20;22;21;6;15;;;;;;;;;;;
BEIGE AMARILLO NARANJA;RB-1;DUCO;10;1;17;39;10;80;;;;;;;;;;;
GRIS GRAPHITE;GRAPHITE;DUCO;35;1;18;53;40;;;;;;;;;;;;
BEIGE CONCRETO;CONCRETO-;DUCO;130;10;9;4;9;;;;;;;;;;;;
BEIGE BASE MET P/ 5A7;5A7;DUCO;35;1;10;15;4;90;;;;;;;;;;;
VIOLETA BASE MET ;KKSP-6;DUCO;290;50;110;330;;;;;;;;;;;;;
VERDE BASE MET P/ ZHC;ZHC;DUCO;328;110;160;17;5;50;130;;;;;;;;;;
GRIS BASE MET P/ 183;183-TOY;DUCO;80;14;30;17;14;;;;;;;;;;;;
AZUL BASE MET P/ MPB;MPB;DUCO;90;24;102;8;170;;;;;;;;;;;;
ROBLE TERMO NEGRO MATE;TERMO;DUCO;80;13;5;8;14;37;;;;;;;;;;;
PINO ALAND BLANCO;PINO;DUCO;120;32;4;2;;;;;;;;;;;;;
GRIS METALICO BASE;S6G;DUCO;72;30;52;6;8;7;;;;;;;;;;;
BRONZE MET BASE P/ FD-2;FD-2;DUCO;110;31;14;50;15;200;;;;;;;;;;;
TURQUESA MET P/ 760;760-MET;DUCO;35;1;3;13;4;80;;;;;;;;;;;
ROSSI;NARANJA ROSSI;SER;530;1237;38;14;346;62;60;;;;;;;;;;
GRIS BASE MET P/ X56;X56;DUCO;245;130;5;12;5;;;;;;;;;;;;
BEIGE METALICO BASE;1A5-2;DUCO;610;5;45;5;5;5;5;180;;;;;;;;;
AZUL CELESTE MET;PAPELITO-1;DUCO;88;;3;10;1;40;;;;;;;;;;;
MARRON BASE MET P/ ZEL;ZEL;DUCO;203;280;100;100;100;;;;;;;;;;;;
NARANJA BASE MET;4W5;DUCO;310;40;30;4;50;;;;;;;;;;;;
ROJO BASE;A20-HKS;DUCO;1330;150;11;500;;;;;;;;;;;;;
SILVER MET;A66-HKS;DUCO;2130;40;3;3;340;;;;;;;;;;;;
VERDE BASE MET P/ DS2;DS2-HKS;DUCO;308;220;522;30;40;;;;;;;;;;;;
ROJO METALICO BASE;BEG;DUCO;7;73;38;9;5;13;;;;;;;;;;;
VERDE BASE MET P/ 6P3;6P3-HKS;DUCO;87;40;10;16;;;;;;;;;;;;;
VERDE VIVA INTENSO;VIVAS-3;DUCO;150;18;;;;;;;;;;;;;;;
VERDE BASE P/ FHVL-17;FHVL-17;DUCO;537;124;8;12;3;243;;;;;;;;;;;
FERRARO CRISTALO;FERRARO;DUCO;15;8;25;2;30;25;48;;;;;;;;;;
VERDE BASE MET P/ D13;D13-HKS;DUCO;20;5;124;25;28;233;;;;;;;;;;;
AZUL BASE MET P/ B23;B23-HKS;DUCO;750;50;30;10;1000;;;;;;;;;;;;
BEIGE BASE MET P/ 5A7;5A7-HKS;DUCO;52;0,2;4;5;0,5;7;;;;;;;;;;;
BLANCO BASE P/ Z7T;Z7T-HKS;DUCO;161,7;0,6;0,3;5,3;0,1;0,7;;;;;;;;;;;
BLANCO BASE P/ W75;W75-HKS;DUCO;2415;17;8,5;3;5;30;;;;;;;;;;;
GRIS SILVER MET;R2T-HKS;DUCO;290;5;2;2;8;24;61;150;;;;;;;;;
GRIS BASE MET P/ ZTN;ZTN-HKS;DUCO;330;13;55;3;9;;;;;;;;;;;;
BEIGE NARANJA CLARO;MELAN-1 HKS;DUCO;68;70;3;1;2;16;;;;;;;;;;;
BLANCO BASE P/ 089;089-HKS;DUCO;192;0,5;0,7;4;;;;;;;;;;;;;
AMARILLO BASE P/ PU;98725-HKS;DUCO;1100;534;340;;;;;;;;;;;;;;
GRIS BASE MET P/ ZDL;ZDL-HKS;DUCO;30;1;4;30;1;70;;;;;;;;;;;
ROJO BASE MET P/ 41V;41V-HKS;DUCO;288;24;36;240;510;;;;;;;;;;;;
GRIS METALICO BASE;KDG-HKS;DUCO;260;40;38;8;25;38;70;;;;;;;;;;
VERDE BASE MET P/ 6Q7;6Q7-HKS;DUCO;200;3;11;210;;;;;;;;;;;;;
ROJO BASE;7512-VL;DUCO;927;2;20;10;103;350;;;;;;;;;;;
GRIS SILVER MET;545-NIS;DUCO;700;10;10;10;5;230;100;;;;;;;;;;
SILVER MET BASE;3D-HKS;DUCO;90;1;60;;;;;;;;;;;;;;
BLANCO BASE P/ 042;042-HKS;DUCO;148,8;4,8;0,1;3,6;;;;;;;;;;;;;
GRIS SILVER MET BASE;WJX-HKS;DUCO;200;80;65;6;5;40;;;;;;;;;;;
AMARILLO BASE;5A3-HKS;DUCO;2600;70;40;180;;;;;;;;;;;;;
BEIGE GRIS;CUBANITA-ALT;DUCO;240;30;195;40;35;6;;;;;;;;;;;
MARRON NOGAL;NOGAL-ALT;DUCO;47;27;21;11;9;23;;;;;;;;;;;
NARANJA BASE;MCL-HKS;DUCO;700;400;60;236;100;;;;;;;;;;;;
VERDE METALICO;6M1-HKS;DUCO;375;30;830;180;370;;;;;;;;;;;;
ROJO BASE MET;528-HKS;SER;700;200;100;300;390;;;;;;;;;;;;
MARRON COÑAQUE;COÑAQ;DUCO;65;28;3;28;30;;;;;;;;;;;;
GRIS BASE MET P/ ZZP;ZZP-HKS;DUCO;300;50;50;;;;;;;;;;;;;;
SILVER MET BASE;1D6-HKS;DUCO;120;20;15;3;1;2;;;;;;;;;;;
AZUL BASE MET P/ 8M6;8M6-HKS;DUCO;40;6;10;100;;;;;;;;;;;;;
GRIS METALICO BASE;R4G-HKS;DUCO;300;20;60;7;2;;;;;;;;;;;;
NARANJA BASE;FHVL-18;DUCO;838;2;50;30;;;;;;;;;;;;;
VERDE BASE MET P/ 6P1;6P1-HKS;DUCO;200;70;50;100;190;190;;;;;;;;;;;
MARRON BEIGE;PLAS-HKS;DUCO;820;1600;730;190;450;;;;;;;;;;;;
BEIGE ROBLE KENDA SINTETICO;KENDA-SER;DUCO;370;3,5;16;6,5;350;;;;;;;;;;;;
BEIGE METALICO BASE;KX6-HKS;DUCO;262;27;2;20;5;55;4;30;;;;;;;;;
GRIS METALICO BASE;WV2-HKS;DUCO;70;24;2;60;1;;;;;;;;;;;;
GRIS METALICO BASE;CH-HKS;DUCO;70;8;1;70;2;1;;;;;;;;;;;
NARANJA BASE;NARA-BASE;SC;600;253;220;940;;;;;;;;;;;;;
AZUL MEDITERRANEO;4567-VW;SC;450;1700;1100;100;60;50;;;;;;;;;;;
BLANCO BASE P/ QT1;QT1-HKS;DUCO;162;1,8;0,1;0,1;0,4;0,4;4,6;;;;;;;;;;
BEIGE MET BASE P/ KJ1;KJ1-HKS;DUCO;120;1;7;20;;;;;;;;;;;;;
GRIS MET BASE P/ KEY-2;KEY-2-HKS;DUCO;100;37;3;1;1;2;;;;;;;;;;;
VERDE BASE MET P/ G84;G84-HKS;DUCO;480;220;20;90;;;;;;;;;;;;;
GRIS MET BASE;V3G;DUCO;150;15;15;15;60;140;;;;;;;;;;;
AZUL BASE METALICO;8K5-HKS;DUCO;200;40;270;5;60;330;;;;;;;;;;;
BEIGE ARENA;BERLIN-HKS;DUCO;120;36;6;2;;;;;;;;;;;;;
BLANCO BASE P/ ZHJ;ZHJ-HKS;DUCO;2080;23;9,7;2,6;15;;;;;;;;;;;;
DORADO MET TT-07;TT-07;DUCO HKS;11;8;121;10;9;;;;;;;;;;;;
AZUL METALICO BASE;C1M-HKS;DUCO;95;7;55;60;110;95;;;;;;;;;;;
ROJO LISO BASE P/ B76;B76-HKS;DUCO HKS;72;8;345;;;;;;;;;;;;;;
AZUL METALICO BASE;B76-MIT;DUCO HKS;520;50;12;130;168;470;;;;;;;;;;;
METALLIC SUEDE;SUEDE-HKS;DUCO;170;14;24;5;1;;;;;;;;;;;;
GRIS GRAFITO;GRAFITO-HKS;DUCO;60;1;50;36;90;;;;;;;;;;;;
BEIGE ROBLE KENDA ENCERADO;ENCERADO;DUCO HKS;84;3;26;14;47;;;;;;;;;;;;
AMARILLO NARANJA;VJ-03;DUCO;860;90;212;41;;;;;;;;;;;;;
GRIS VERDE BASE MET P/ G26;G26;DUCO;105;180;52;10;50;;;;;;;;;;;;
ROSA VIEJA;ROSA VIEJA;DUCO;100;40;3;9;2;;;;;;;;;;;;
AZUL METALICO BASE P/ RAQ;RAQ-HKS;DUCO HKS;200;10;100;230;70;300;;;;;;;;;;;
DORADO MET BASE S74;S74;DUCO HKS;130;4;5;7;;;;;;;;;;;;;
NARANJA MET BASE 21F;21F;DUCO HKS;50;3;62;14;22;;;;;;;;;;;;
AMARILLO BASE P/ ZFT;ZFT-HKS;DUCO HKS;183;1;40;;;;;;;;;;;;;;
GRIS BASE MET P/ KAD;KAD;DUCO HKS;66;30;3;110;;;;;;;;;;;;;
COBRE MET VW 75 BRA;3475-HKS;DUCO HKS;70;70;5;15;;;;;;;;;;;;;
GRIS METALICO BASE;301/B-HKS;DUCO HKS;75;2;24;3;4;50;;;;;;;;;;;
BEIGE ARENA;CAFELATTE;DUCO HKS;80;60;15;13;;;;;;;;;;;;;
BEIGE ARENA;CANELA;DUCO HKS;65;70;15;16;2;;;;;;;;;;;;
A4A;TRUE RED;MAZDA;110;50;40;;;;;;;;;;;;;;
574-TOY;PALE YELLOW OPAL MET_VJ;TOYOTA;87,7;32,5;15;25;20;2,5;;;;;;;;;;;
ZFT;CHAMPION YELLOW 4;SUZUKI;215;1,4;1,4;;;;;;;;;;;;;;
ZDF;SUPREME RED PEARL;SUZUKI;42,1;10,8;53,7;39,2;12,7;12,7;10;3,5;0,7;;;;;;;;
Y29;SCUBA BLUE MET_VJ;SUZUKI;5,5;4,4;4,4;0,4;47,1;42,2;34,2;29;10,4;8,2;;;;;;;
ZNB;FERVENT RED_VJ;SUZUKI;110;50;25;0,5;;;;;;;;;;;;;
8K0;DARK BLUE MICA_VJ;TOYOTA;14,7;10,1;2,8;2,2;85,7;33,4;12,7;11,7;11;0,2;;;;;;;
KN4;YELLOWISH SILVER MET _VJ;NISSAN;122,2;32;19;11,1;6;3,3;0,5;0,4;1;0,2;3,3;;;;;;
CM1;LIGHT BEIGE MET_VJ;NISSAN;50;50;30;17;10;5;5;5;4;;;;;;;;
8K5;DARK PURPLISH BUE MICA MET_VJ;TOYOTA;27,3;15,7;11,7;1,8;50;37,5;20,1;14,7;4,7;;;;;;;;
8S6;DARK BLUE MICA_VJ;TOYOTA;47,5;2,5;47,6;22,5;22,5;22;15;6,5;2,5;1,9;;;;;;;
B18;DEEP WATER BLUE MET_VJ;NISSAN;84;24;1,6;32;26,4;10,4;4;1,6;;;;;;;;;
NAH;RED MET_VJ;NISSAN;31,8;14,5;9,1;1,4;71,6;36,4;25;4,5;0,7;;;;;;;;
AG2;RED-VJ;NISSAN;150;30;7,8;6;2,2;;;;;;;;;;;;
531-NIS;WHITE;NISSAN;245;1;0,6;0,2;0,2;;;;;;;;;;;;
NAC-1;NEW METALLIC RED;NISSAN;32,5;13;7,8;84,5;26;9,4;;;;;;;;;;;
3J8;WINE RED PEARL_VJ;TOYOTA;66;30;40;22;16;8;6;;;;;;;;;;
8P4;DARK BLUE MICA MET_VJ;TOYOTA;63;36;30;35;15;4;1,5;;;;;;;;;;
3R3;BARCELONA RED MET-VJ;TOYOTA;50;15;10;60;50;;;;;;;;;;;;
DR3;DARK GREEN PEARL-VJ;NISSAN;80;15;5;29;4;23;5;4;30;;;;;;;;
0904E;WHITE;GREAT WALL;220;5,5;1;;;;;;;;;;;;;;
ZFY;SONOMA JEWEL MET_VJ;SUZUKI;50;4;1;80;43;15;4;2;;;;;;;;;
K12;SILVER COOLNES MET_VJ;NISSAN;75;50;50;13;0,7;0,3;0,3;0,2;0,2;;;;;;;;
RBE;LIGHT BLUE MET_VJ;NISSAN;56;45;10;11;10;24;0,4;1;28;;;;;;;;
760-TOY;DARK TUQUOISE MET MICA-VJ;TOYOTA;28;14;6;60;38;28;1;20;;;;;;;;;
4M9;BEIGE MET_VJ;TOYOTA;82;32,8;16,4;16,4;20,5;4;2,5;2;;;;;;;;;
8M0;BLUE MICA MET_VJ;TOYOTA;16,4;13,1;8,2;65,6;57,4;32,8;;;;;;;;;;;
CR0;BEIGE MET_VJ;NISSAN;80;60;20;18;12;1,6;0,4;;;;;;;;;;
B20;BLUISH BLACK PEARL;NISSAN;22,8;5,7;102,8;17;17;11,4;5,7;1,7;;;;;;;;;
1C0-1;SILVER MET_VJ;TOYOTA;110;40;20;6,5;;;;;;;;;;;;;
ZAM;MIDNIGHT BLACK PEARL_VJ;SUZUKI;4;0,4;140;30;10;10;;;;;;;;;;;
3Q3;DARK RED MICA_VJ;TOYOTA;30;30;4;72;30;10;6;;;;;;;;;;
8G5;DARK BLUE MICA MET_VJ;TOYOTA;45;9;3;55;33;21;15;12;28;;;;;;;;
1C1;CRISTAL SILVER PEARL_VJ;TOYOTA;117,5;42,3;30,5;3,3;0,7;;;;;;;;;;;;
B34;MARINA BLUE PEARL_VJ;MITSUBISHI;45;25;86;19;7;5;5;0,5;;;;;;;;;
A37;LEGATO GREY MET PEARL_VJ;MITSUBISHI;60;20;2;7;57;24;15;2;;;;;;;;;
X56;MAJORCA BLACK MET_VJ;MITSUBISHI;35;106,5;22,5;14,5;7,5;7,5;4;;;;;;;;;;
1C0-2;SILVER MET 2_VJ;TOYOTA;110;40;20;13;0,5;0,5;0,3;;;;;;;;;;
209-TOY;BLACK MICA_VJ;TOYOTA;19;17;3;1,8;100;30;25;2;;;;;;;;;
314-BMW;HELLROT_VJ;BMW;80;52;40;40;10;;;;;;;;;;;;
5A7;SILKY GOLD MICA_VJ;TOYOTA;106;40;12;7;6;4,2;4;3,6;4;0,4;;;;;;;
6S3;DARK GREEN MICA MET_VJ;TOYOTA;17,5;16,2;15;3,1;43,5;33,7;28,5;18,8;5,6;5;;;;;;;
6P1;BLUISH GREEN MET_VJ;TOYOTA;18;16;20;7,2;60;51,2;8;8;5;2;4;;;;;;
8L2;DARK BLUE MICA MET_VJ;TOYOTA;25;10;5;2;75;25;25;25;;;;;;;;;
6Q3;LIGHT OLIVE MICA MET_VJ;TOYOTA;42;30;30;27;19;18,4;4,6;10;3;;;;;;;;
11A;BLANCO ARTICO_VJ;RENAULT;220;3,5;1,4;0,2;0,1;;;;;;;;;;;;
205-TOY;SATIN BLACK MET_VJ;TOYOTA;10;7;100;20;50;2;;;;;;;;;;;
P78;ROANNE RED PEARL_VJ;MITSUBISHI;20;17;10;4;105;12;10;5;5;3;;;;;;;
ZRJ;ABLAZE RED 2 PEARL_VJ;SUZUKI;51;14;25;5;20;7;3;6;1;3;5;55;;;;;
G99;FABRE GREEN MET_VJ;MITSUBISHI;42;30;20;6;28;21;15;15;9;1;;;;;;;
A15;SPARKLE RED MET_VJ;NISSAN;21;14;3,5;70;28;28;7;7;7;;;;;;;;
6J4;LIGHT GREEN MET_VJ;TOYOTA;84;35;21;14;20;8,4;7;3,5;2;1,4;;;;;;;
1D4;SILVER MET_VJ;TOYOTA;74;60;50;3;3;1;;;;;;;;;;;
6J7;GREEN MET_VJ;TOYOTA;27;27;13,5;9;44;24,3;20,7;18;1,8;;;;;;;;
8S9;LIGHT BLUE MICA MET_VJ;TOYOTA;75;50;30;20;11;1;;;;;;;;;;;
WA9075;TORCH RED_VJ;CHEVROLET;80;69;36;2,7;;;;;;;;;;;;;
3488;VRMELHO BARI_VJ;FORD;125;35;15;12;;;;;;;;;;;;;
3H7;RED_VJ;TOYOTA;91;52,2;39,7;8;0,2;;;;;;;;;;;;
E30;YELLOW PEARL MET_VJ;NISSAN;45;19;18;13,5;56;22,5;9;2,2;0,9;;;;;;;;
AR2;RED_VJ;NISSAN;82;65;22;8;3;;;;;;;;;;;;
3F4;RED_VJ;TOYOTA;88,8;33,3;29,6;27,4;7,4;4,4;0,5;;;;;;;;;;
32H;MOCHA MICA_VJ;MAZDA;35;20;15;10;75;18;10;3;1,5;;;;;;;;
91093-VL;VINTAGE BEIGE MET_VJ;VOLVO;103,5;54;4,5;13,5;4,5;4;2,3;0,9;0,4;;;;;;;;
KV1;CHARCOAL MET_VJ;NISSAN;51,3;27;21,6;14,3;54;8,1;7;4;3,5;1,9;;;;;;;
6N5;DARK GREEN MET_VJ;TOYOTA;9;6;90;30;18;13;10;10;8;;;;;;;;
ZFM;SUNLIGHT COPPER PEARL_VJ;SUZUKI;43;38;15;40;25;20;6;4;;;;;;;;;
P19;RED MET_VJ;MITSUBISHI;35;10;10;4;70;20;20;9;;;;;;;;;
4P9;GREYISH  BROW METALLIC_VJ;MITSUBISHI;60;50;23;21;13;9;3;2;;;;;;;;;
K23-2;PRATA CLASSIC_VJ (mas fino);NISSAN;80;50;45;5;5;1;1;;;;;;;;;;
PGJ;WILWOOD GREEN PEARL COAT_VJ;JEEP;58,5;19,5;15,6;14,3;45,5;17;11,7;;;;;;;;;;
4N9;BEIGE OPAL MICA MET_VJ;TOYOTA;60;30;24;20;10;13;10;3;;;;;;;;;
G25;FINESS GREEN PEARL_VJ;MITSUBISHI;26;24;96;20;6,4;6;2,2;0,4;;;;;;;;;
PVB;INDIGO BLUE PEARL_VJ;JEEP;17;4,5;60;53;35;15;11;1;;;;;;;;;
ZNW;FIRE BRICK RED MET_VJ;SUZUKI;64;9;2;5;23;11;5;17;4;50;;;;;;;
ZKY;PARADISE BLUE MET_VJ;SUZUKI;75;20;2;88;3,2;0,8;;;;;;;;;;;
T88;MOON LIGHT BLUE PEARL_VJ;MITSUBISHI;50;31,5;40;30;25;15;2;0,7;;;;;;;;;
A69;SATELLITE SILVER MET_VJ;MITSUBISHI;84;70;14;15,4;2,8;0,8;;;;;;;;;;;
H66;ARM0R CHARCOAL GREY PEARL_VJ;MITSUBISHI;25;2,3;1;50;10,5;3,3;6,3;0,3;0,2;95;;;;;;;
KAH;PINKISH SILVER PEARL MET_VJ;NISSAN;90;25;22;40;7;5;2;0,1;;;;;;;;;
AH3;BRIGHT RED PEARL_VJ;NISSAN;30;20;21;60;50;18;2;;;;;;;;;;
LS7;GREYISH PURPLE MET_VJ;NISSAN;45;35;25;10;30;17;12;11;10;4;;;;;;;
3H4;MAPLE RED MICA_VJ;TOYOTA;24,8;9,3;93;59;3;0,6;0,3;;;;;;;;;;
3Q8;DARK RED MICA_VJ;TOYOTA;59;25;5;55;31,5;15;6,5;;;;;;;;;;
3K9;LIGHT TAUPE MET_VJ;TOYOTA;62,4;57,6;48;11,5;9,6;1,9;1,2;;;;;;;;;;
CR0;BEIGE MET_VJ;NISSAN;80;60;20;18;12;1,6;0,4;;;;;;;;;;
KL1;BLUISH GREY PEARL_VJ;NISSAN;63;45;18;36;9;5,4;4,5;1,8;0,9;;;;;;;;
CAA;REDISH BEIGE MET_VJ;NISSAN;80;63;18;15;12,5;4;1;;;;;;;;;;
042-TOY;WHITE PEARL_VJ;TOYOTA;38;13,2;0,3;15,2;125,3;;;;;;;;;;;;
6M3;GREYISH GREEN MET_VJ;TOYOTA;85;20;33;25;18;18;;;;;;;;;;;
3L3;MAGENTA MICA_VJ;TOYOTA;27;18;6,3;85,5;27;15,5;4,5;2,5;;;;;;;;;
4Q2;BEIGE MICA MET_VJ;TOYOTA;42,6;36,6;66,6;21,6;11,6;5;4;1;0,5;;;;;;;;
U17;TITANIUM GREY MET_VJ;MITSUBISHI;66,5;28,5;22;23;40,7;7,6;4,7;0,9;0,9;;;;;;;;
3R3;BARCELONA RED MET-VJ;TOYOTA;50;15;10;60;52;3;;;;;;;;;;;
1D6;SILVER MET_VJ;TOYOTA;32,5;20;17,5;5;8;3;2,7;0,8;0,5;18;;;;;;;
058-TOY;WHITE_VJ;TOYOTA;230;2,3;1;0,6;;;;;;;;;;;;;
3E5-TOY;SUPER RED_VJ;TOYOTA;145;30;6;25;;;;;;;;;;;;;
1A0-1;BLUISH SILVER MET_VJ;TOYOTA;85,5;50,7;23;14,7;2,7;2,7;1,7;1;;;;;;;;;
KY0;SPORTY SILVER MET_VJ;NISSAN;64;40;40;33;6;5,8;0,7;;;;;;;;;;
6P4;GREEN OPAL MET_VJ;TOYOTA;75;16;70;22;6;2;;;;;;;;;;;
1611-VL;AZUL NAVAL SAMURAY_VJ;VOLVO;140;55;21;;;;;;;;;;;;;;
1604-VL;AZUL VOLVO_VJ;VOLVO;155;37;15;;;;;;;;;;;;;;
W32;FAIRY WHITE_VJ;MITSUBISHI;255;1,4;1;0,2;0,4;0,3;;;;;;;;;;;
